ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2672, 2137, 135, 849471
8, 735, 378, 65, 4379928
16, 483, 350, 63, 2460854
32, 1110, 1132, 78, 2776797
64, 519, 1413, 35, 2504270
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2085, 2538, 103, 833912
8, 846, 375, 75, 3827193
16, 398, 312, 68, 2615313
32, 612, 3988, 149, 2150224
64, 676, 377, 45, 2599816
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2702, 2070, 117, 821940
8, 3421, 330, 74, 4178809
16, 396, 331, 64, 2501979
32, 322, 1217, 363, 3241539
64, 237, 685, 101, 2871571
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2759, 2058, 144, 802683
8, 805, 349, 78, 6595821
16, 1206, 260, 118, 2629561
32, 379, 1074, 74, 2872141
64, 963, 3610, 39, 2510211
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2924, 2072, 129, 833701
8, 816, 1268, 69, 4217536
16, 2563, 220, 192, 2384033
32, 538, 4837, 51, 2691434
64, 264, 436, 209, 2647846
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2897, 2211, 99, 831152
8, 818, 374, 73, 4441477
16, 378, 319, 226, 2615404
32, 385, 340, 53, 2703300
64, 511, 649, 63, 2799145
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2888, 2224, 130, 852019
8, 604, 268, 65, 5688251
16, 445, 356, 67, 2496621
32, 428, 260, 53, 2947854
64, 343, 380, 47, 2443446
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2786, 2517, 153, 769768
8, 742, 388, 73, 4873173
16, 834, 686, 153, 2913573
32, 464, 439, 67, 3182437
64, 479, 1108, 41, 2986463
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2536, 2270, 110, 830742
8, 742, 316, 69, 4661060
16, 1771, 325, 59, 2450419
32, 4021, 1353, 47, 2797067
64, 489, 285, 37, 2587044
ThreadNum, RefundAvgLatency(ns), BuyAvgLatency(ns), InquiryAvgLatency(ns), Throughout(TPS)
4, 2896, 2309, 157, 795578
8, 756, 349, 76, 3646923
